organization_uuid,organization_name,provider_count,rate_count,avg_rate,median_rate,unique_service_codes
1abfe434-1565-5e99-96fd-78b7fa7cf68b,Organization-250815795,499.0,71,201.95,136.26,22
199842c3-e414-54a3-905a-148d5430535b,Organization-470687317,487.0,170,398.17,208.84,55
9ec61267-599f-5ad0-8dc7-1b1901bfeb36,Organization-752131429,484.0,79,142.86,125.9,23
f1088814-3a5e-5fb8-87f9-2cfef070012a,Organization-710781138,484.0,287,316.15,150.0,65
e369ab4e-b1cb-540f-b509-303be8d0175c,Organization-10238552,479.0,118,118.26,108.21,30
dd0e0be5-ff31-58e9-85ea-2dc732d11370,Organization-351536132,476.0,110,242.95,139.37,18
10553f49-1117-5fc9-9693-d984f6c5f35e,Organization-770465765,462.0,14,327.72,273.28,12
0b3c5c59-6000-564a-9f3e-782ba3ae5bf4,Organization-274803222,462.0,206,143.79,120.34,32
67f5523c-5cb1-57af-9c34-fe7491e10529,Organization-203059260,460.0,129,337.97,134.39,33
416a35b0-a9f2-528a-8992-71795a8e709a,Organization-352526373,453.0,110,118.67,102.99,15
20a8c4b4-b0d5-5ced-80e2-5a82a231135c,Organization-263083364,453.0,158,132.73,112.5,24
6dad63a0-0606-5636-9397-fcb0ce9a8dae,Organization-710837572,452.0,74,147.53,99.4,22
101077d4-43f5-5616-935f-380f47c84993,Organization-203395567,446.0,58,265.48,233.1,13
e0557df8-2381-5a8e-945f-e4c019ec0f8d,Organization-956130458,446.0,30,277.31,278.5,10
120dc4ed-0af3-58b1-b27c-ededce5a91c0,Organization-451674932,443.0,547,199.04,108.03,75
d9f54744-b71b-5ee0-bcc8-61d690cc5ccf,Organization-251744392,442.0,63,209.82,132.96,23
dae5a200-a5ce-5cbf-8659-4f38cb771f07,Organization-954322584,434.0,38,198.82,153.7,12
22f04768-ea5d-5c78-9609-b9fd124c2420,Organization-386005601,432.0,665,176.96,105.48,76
21c5ee7d-083e-59cf-876f-759500455f46,Organization-352030653,431.0,216,172.85,118.92,35
49a2d81d-ab7b-5dcd-8203-c49de352c82f,Organization-231365353,428.0,225,179.6,145.2,39
762ea82f-cf5a-556d-859a-1af356910b04,Organization-232729852,426.0,173,162.13,145.03,38
6df8f54a-6b7e-54ae-a149-ee97291cbf00,Organization-232691968,422.0,157,285.78,168.98,20
570f3217-f146-52a6-8e42-2df4f7c88bf8,Organization-752600873,416.0,165,282.31,134.9,58
4eabd6e6-cc0b-5aba-bec0-e5899f49fbc0,Organization-742800601,416.0,153,152.69,112.24,43
86f8171f-5119-58f4-bb3c-5ad228984f54,Organization-582030692,416.0,37,206.92,177.29,26
9d20ac6f-9244-5f3d-8c40-647825fec402,Organization-274174150,415.0,291,103.25,92.25,41
809723ab-d81b-56f2-a238-c225a31795a2,Organization-201024250,414.0,93,271.31,141.52,26
0383704e-0b26-52ab-8454-336a8d2f4e4f,Organization-900603487,412.0,8,50.98,52.78,6
3829a771-a28b-5e70-9978-698e769f6511,Organization-421193699,402.0,34,166.37,160.38,11
2acfb351-81a3-5188-8430-ee016d432951,Organization-454158203,396.0,97,223.28,128.68,25
c32518bc-91cc-50ef-8b30-da24c3c2f8f2,Organization-611029626,396.0,432,197.89,122.11,59
8e46ad6e-d87f-55e8-8080-2cdea0fd360a,Organization-131623978,396.0,2,240.48,240.48,2
2251e655-406d-522a-b2a1-09069a472623,Organization-465400615,396.0,477,141.05,97.75,73
